2.8846153846153846,1500,0.1516,,,
3.0,1560,,0.06660765409469604,0.9908653846153846,0.9900063486157996
3.8461538461538463,2000,0.0568,,,
4.0,2080,,0.043703459203243256,0.9923076923076923,0.9916036728431812
4.8076923076923075,2500,0.0249,,,
5.0,2600,,0.034694891422986984,0.9947115384615385,0.9942419307030517
5.769230769230769,3000,0.0145,,,
6.0,3120,,0.030132310464978218,0.9951923076923077,0.994722019499704
6.730769230769231,3500,0.0091,,,
7.0,3640,,0.03285318985581398,0.9947115384615385,0.9942572595770763
7.6923076923076925,4000,0.0066,,,
8.0,4160,,0.03351140394806862,0.99375,0.993326363407977
8.653846153846153,4500,0.0047,,,
9.0,4680,,0.03239772841334343,0.99375,0.993310290568923
9.615384615384615,5000,0.0051,,,
10.0,5200,,0.03677983209490776,0.99375,0.9934022172938995
10.576923076923077,5500,0.005,,,
11.0,5720,,0.03161431849002838,0.9951923076923077,0.9949652368131547
11.538461538461538,6000,0.0031,,,
12.0,6240,,0.02678288333117962,0.9961538461538462,0.9959027956311483
12.5,6500,0.0016,,,
13.0,6760,,0.027720969170331955,0.9961538461538462,0.9959027956311483
13.461538461538462,7000,0.0013,,,
14.0,7280,,0.028717249631881714,0.9961538461538462,0.9959027956311483
14.423076923076923,7500,0.0011,,,
15.0,7800,,0.028992488980293274,0.9956730769230769,0.9952129963000443
15.384615384615385,8000,0.0009,,,
16.0,8320,,0.029684053733944893,0.9956730769230769,0.9952129963000443
16.346153846153847,8500,0.0008,,,
17.0,8840,,0.030300825834274292,0.9956730769230769,0.9952129963000443
17.307692307692307,9000,0.0007,,,
18.0,9360,,0.030404817312955856,0.9956730769230769,0.9952129963000443
18.26923076923077,9500,0.0007,,,
19.0,9880,,0.03061676397919655,0.9956730769230769,0.9952129963000443
19.23076923076923,10000,0.0006,,,
20.0,10400,,0.030769744887948036,0.9956730769230769,0.9952129963000443
20.0,10400,,,,
